
Patching EET_modConverter/Input/bgt/dsc006.are: are = AR4600 => BG5500 - 0x328
Patching EET_modConverter/Input/bgt/nostring/dsc004.are: MUSIC = 9 => 114 - 0x1240
Patching EET_modConverter/Input/bgt/nostring/dsc004.are: MUSIC = 10 => 115 - 0x1244
Patching EET_modConverter/Input/bgt/nostring/dsc004.are: MUSIC = 27 => 131 - 0x124c
Patching EET_modConverter/Input/bgt/nostring/dsc005.are: are = AR3101 => BG4201 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc007.are: MUSIC = 17 => 121 - 0x13b8
Patching EET_modConverter/Input/bgt/nostring/dsc007.are: MUSIC = 17 => 121 - 0x13bc
Patching EET_modConverter/Input/bgt/nostring/dsc007.are: MUSIC = 39 => 125 - 0x13c4
Patching EET_modConverter/Input/bgt/nostring/dsc009.are: MUSIC = 16 => 120 - 0x8e0
Patching EET_modConverter/Input/bgt/nostring/dsc009.are: MUSIC = 16 => 120 - 0x8e4
Patching EET_modConverter/Input/bgt/nostring/dsc009.are: MUSIC = 21 => 125 - 0x8ec
Patching EET_modConverter/Input/bgt/nostring/dsc011.are: are = ARD002 => BG0502 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc011.are: MUSIC = 18 => 122 - 0x1104
Patching EET_modConverter/Input/bgt/nostring/dsc011.are: MUSIC = 18 => 122 - 0x1108
Patching EET_modConverter/Input/bgt/nostring/dsc011.are: MUSIC = 39 => 125 - 0x1110
Patching EET_modConverter/Input/bgt/nostring/dsc012.are: are = ARD003 => BG0503 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc012.are: MUSIC = 17 => 121 - 0x1950
Patching EET_modConverter/Input/bgt/nostring/dsc012.are: MUSIC = 17 => 121 - 0x1954
Patching EET_modConverter/Input/bgt/nostring/dsc012.are: MUSIC = 39 => 125 - 0x195c
Patching EET_modConverter/Input/bgt/nostring/dsc013.are: are = ARD004 => BG0504 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc013.are: MUSIC = 16 => 120 - 0x1794
Patching EET_modConverter/Input/bgt/nostring/dsc013.are: MUSIC = 16 => 120 - 0x1798
Patching EET_modConverter/Input/bgt/nostring/dsc013.are: MUSIC = 39 => 125 - 0x17a0
Patching EET_modConverter/Input/bgt/nostring/dsc014.are: are = ARD005 => BG0505 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc014.are: MUSIC = 18 => 122 - 0x1154
Patching EET_modConverter/Input/bgt/nostring/dsc014.are: MUSIC = 18 => 122 - 0x1158
Patching EET_modConverter/Input/bgt/nostring/dsc014.are: MUSIC = 39 => 125 - 0x1160
Patching EET_modConverter/Input/bgt/nostring/dsc015.are: are = ARD001 => BG0501 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc015.are: MUSIC = 17 => 121 - 0x158c
Patching EET_modConverter/Input/bgt/nostring/dsc015.are: MUSIC = 17 => 121 - 0x1590
Patching EET_modConverter/Input/bgt/nostring/dsc015.are: MUSIC = 39 => 125 - 0x1598
Patching EET_modConverter/Input/bgt/nostring/dsc016.are: are = AR6519 => BG2619 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc016.are: MUSIC = 18 => 122 - 0x4210
Patching EET_modConverter/Input/bgt/nostring/dsc016.are: MUSIC = 18 => 122 - 0x4214
Patching EET_modConverter/Input/bgt/nostring/dsc016.are: MUSIC = 22 => 126 - 0x421c
Patching EET_modConverter/Input/bgt/nostring/dsc017.are: are = AR6515 => BG2615 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc017.are: MUSIC = 17 => 121 - 0x4958
Patching EET_modConverter/Input/bgt/nostring/dsc017.are: MUSIC = 17 => 121 - 0x495c
Patching EET_modConverter/Input/bgt/nostring/dsc017.are: MUSIC = 25 => 129 - 0x4964
Patching EET_modConverter/Input/bgt/nostring/dsc018.are: are = AR9798 => BG3901 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc018.are: MUSIC = 17 => 121 - 0x2878
Patching EET_modConverter/Input/bgt/nostring/dsc018.are: MUSIC = 17 => 121 - 0x287c
Patching EET_modConverter/Input/bgt/nostring/dsc018.are: MUSIC = 27 => 131 - 0x2884
Patching EET_modConverter/Input/bgt/nostring/dsc019.are: are = ARW012 => BG2012 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc019.are: MUSIC = 16 => 120 - 0xfd4
Patching EET_modConverter/Input/bgt/nostring/dsc019.are: MUSIC = 16 => 120 - 0xfd8
Patching EET_modConverter/Input/bgt/nostring/dsc019.are: MUSIC = 39 => 125 - 0xfe0
Patching EET_modConverter/Input/bgt/nostring/dsc020.are: are = ARW012 => BG2012 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc020.are: are = AR3200 => BG4300 - 0x154
Patching EET_modConverter/Input/bgt/nostring/dsc020.are: exit = EXIT32 => EXIT43 - 0x754
Patching EET_modConverter/Input/bgt/nostring/dsc020.are: MUSIC = 16 => 120 - 0xfd4
Patching EET_modConverter/Input/bgt/nostring/dsc020.are: MUSIC = 16 => 120 - 0xfd8
Patching EET_modConverter/Input/bgt/nostring/dsc020.are: MUSIC = 27 => 131 - 0xfe0
Patching EET_modConverter/Input/bgt/nostring/dsc021.are: are = AR4404 => BG5404 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc021.are: MUSIC = 17 => 121 - 0x1138
Patching EET_modConverter/Input/bgt/nostring/dsc021.are: MUSIC = 17 => 121 - 0x113c
Patching EET_modConverter/Input/bgt/nostring/dsc021.are: MUSIC = 39 => 125 - 0x1144
Patching EET_modConverter/Input/bgt/nostring/dsc022.are: are = AR8301 => BG1401 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc022.are: MUSIC = 16 => 120 - 0xe70
Patching EET_modConverter/Input/bgt/nostring/dsc022.are: MUSIC = 16 => 120 - 0xe74
Patching EET_modConverter/Input/bgt/nostring/dsc022.are: MUSIC = 39 => 125 - 0xe7c
Patching EET_modConverter/Input/bgt/nostring/dsc023.are: are = AR6560 => BG5506 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc023.are: MUSIC = 18 => 122 - 0x2354
Patching EET_modConverter/Input/bgt/nostring/dsc023.are: MUSIC = 18 => 122 - 0x2358
Patching EET_modConverter/Input/bgt/nostring/dsc023.are: MUSIC = 39 => 125 - 0x2360
Patching EET_modConverter/Input/bgt/nostring/dsc024.are: are = AR4401 => BG5401 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc024.are: MUSIC = 17 => 121 - 0x1c68
Patching EET_modConverter/Input/bgt/nostring/dsc024.are: MUSIC = 17 => 121 - 0x1c6c
Patching EET_modConverter/Input/bgt/nostring/dsc024.are: MUSIC = 25 => 129 - 0x1c74
Patching EET_modConverter/Input/bgt/nostring/dsc025.are: are = AR4402 => BG5402 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc025.are: MUSIC = 18 => 122 - 0x440c
Patching EET_modConverter/Input/bgt/nostring/dsc025.are: MUSIC = 18 => 122 - 0x4410
Patching EET_modConverter/Input/bgt/nostring/dsc025.are: MUSIC = 39 => 125 - 0x4418
Patching EET_modConverter/Input/bgt/nostring/dsc026.are: are = AR8602 => BG1802 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc026.are: itm = SHLD15 => SHLD15A - 0x5124
Patching EET_modConverter/Input/bgt/nostring/dsc026.are: itm = SHLD01 => SHLD01A - 0x5138
Patching EET_modConverter/Input/bgt/nostring/dsc026.are: itm = SHLD13 => SHLD13A - 0x514c
Patching EET_modConverter/Input/bgt/nostring/dsc026.are: itm = SHLD05 => SHLD05A - 0x5160
Patching EET_modConverter/Input/bgt/nostring/dsc026.are: itm = SHLD16 => SHLD16A - 0x5174
Patching EET_modConverter/Input/bgt/nostring/dsc026.are: itm = SHLD02 => SHLD02A - 0x5188
Patching EET_modConverter/Input/bgt/nostring/dsc026.are: MUSIC = 18 => 122 - 0x5e8c
Patching EET_modConverter/Input/bgt/nostring/dsc026.are: MUSIC = 18 => 122 - 0x5e90
Patching EET_modConverter/Input/bgt/nostring/dsc026.are: MUSIC = 39 => 125 - 0x5e98
Patching EET_modConverter/Input/bgt/nostring/dsc027.are: are = AR7607 => BG0607 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc027.are: MUSIC = 39 => 125 - 0x13cc
Patching EET_modConverter/Input/bgt/nostring/dsc028.are: are = AR9798 => BG3901 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc028.are: MUSIC = 18 => 122 - 0x1f1c
Patching EET_modConverter/Input/bgt/nostring/dsc028.are: MUSIC = 18 => 122 - 0x1f20
Patching EET_modConverter/Input/bgt/nostring/dsc028.are: MUSIC = 20 => 124 - 0x1f28
Patching EET_modConverter/Input/bgt/nostring/dsc029.are: are = AR8601 => BG1801 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc029.are: MUSIC = 17 => 121 - 0x2a34
Patching EET_modConverter/Input/bgt/nostring/dsc029.are: MUSIC = 17 => 121 - 0x2a38
Patching EET_modConverter/Input/bgt/nostring/dsc029.are: MUSIC = 39 => 125 - 0x2a40
Patching EET_modConverter/Input/bgt/nostring/dsc030.are: are = AR8604 => BG1804 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc030.are: MUSIC = 16 => 120 - 0x2ffc
Patching EET_modConverter/Input/bgt/nostring/dsc030.are: MUSIC = 16 => 120 - 0x3000
Patching EET_modConverter/Input/bgt/nostring/dsc030.are: MUSIC = 39 => 125 - 0x3008
Patching EET_modConverter/Input/bgt/nostring/dsc031.are: are = AR3401 => BG5201 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc031.are: MUSIC = 16 => 120 - 0x2898
Patching EET_modConverter/Input/bgt/nostring/dsc031.are: MUSIC = 16 => 120 - 0x289c
Patching EET_modConverter/Input/bgt/nostring/dsc031.are: MUSIC = 39 => 125 - 0x28a4
Patching EET_modConverter/Input/bgt/nostring/dsc032.are: are = AR8301 => BG1401 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc032.are: MUSIC = 17 => 121 - 0x1090
Patching EET_modConverter/Input/bgt/nostring/dsc032.are: MUSIC = 17 => 121 - 0x1094
Patching EET_modConverter/Input/bgt/nostring/dsc032.are: MUSIC = 27 => 131 - 0x109c
Patching EET_modConverter/Input/bgt/nostring/dsc033.are: are = AR8605 => BG1805 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc034.are: are = AR8603 => BG1803 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc034.are: MUSIC = 18 => 122 - 0x5690
Patching EET_modConverter/Input/bgt/nostring/dsc034.are: MUSIC = 18 => 122 - 0x5694
Patching EET_modConverter/Input/bgt/nostring/dsc034.are: MUSIC = 39 => 125 - 0x569c
Patching EET_modConverter/Input/bgt/nostring/dsc035.are: MUSIC = 18 => 122 - 0x1218
Patching EET_modConverter/Input/bgt/nostring/dsc035.are: MUSIC = 18 => 122 - 0x121c
Patching EET_modConverter/Input/bgt/nostring/dsc035.are: MUSIC = 27 => 131 - 0x1224
Patching EET_modConverter/Input/bgt/nostring/dsc036.are: are = AR8301 => BG1401 - 0x8
Patching EET_modConverter/Input/bgt/nostring/dsc036.are: MUSIC = 17 => 121 - 0xfbc
Patching EET_modConverter/Input/bgt/nostring/dsc036.are: MUSIC = 17 => 121 - 0xfc0
Patching EET_modConverter/Input/bgt/nostring/dsc036.are: MUSIC = 39 => 125 - 0xfc8
Patching EET_modConverter/Input/bgt/nostring/dsc037.are: are = AR8703 => BG1903 - 0x2dc
Patching EET_modConverter/Input/bgt/nostring/dsc037.are: MUSIC = 17 => 121 - 0x10b0
Patching EET_modConverter/Input/bgt/nostring/dsc037.are: MUSIC = 17 => 121 - 0x10b4
Patching EET_modConverter/Input/bgt/nostring/dsc037.are: MUSIC = 39 => 125 - 0x10bc

